,route,depature,error
128,A->C->D,1900-01-01 07:51:00,5.099065447171824
129,A->C->E,1900-01-01 16:20:00,3.826217195392317
130,A->C->E,1900-01-01 08:29:00,6.3270328279465815
131,A->C->D,1900-01-01 08:50:00,1.4527550638036644
132,B->C->E,1900-01-01 08:50:00,1.8803905605156785
133,B->C->D,1900-01-01 07:04:00,3.0539527796770756
134,B->C->E,1900-01-01 09:09:00,1.6611643735373889
135,B->C->E,1900-01-01 11:55:00,2.1639378566680847
136,B->C->D,1900-01-01 12:31:00,3.0355086449675213
137,A->C->E,1900-01-01 08:55:00,1.3737748648747896
138,A->C->D,1900-01-01 07:04:00,8.244085498453899
139,A->C->E,1900-01-01 12:26:00,3.753104472253753
140,A->C->D,1900-01-01 12:59:00,7.258886061559906
141,B->C->E,1900-01-01 12:17:00,2.7210312544939654
142,A->C->E,1900-01-01 12:11:00,3.2738620875125264
143,A->C->D,1900-01-01 14:24:00,5.149861018767439
144,A->C->D,1900-01-01 12:46:00,0.7146883937731161
145,B->C->D,1900-01-01 15:47:00,3.9913600073018927
146,B->C->D,1900-01-01 16:23:00,1.1342130109201776
147,A->C->E,1900-01-01 10:56:00,4.591305113656091
148,B->C->D,1900-01-01 13:42:00,8.12556295031331
149,A->C->E,1900-01-01 11:15:00,7.374537243973293
150,A->C->E,1900-01-01 10:28:00,9.540967535425708
151,A->C->D,1900-01-01 15:04:00,9.482479031415224
152,B->C->E,1900-01-01 13:45:00,1.960352803439747
153,A->C->D,1900-01-01 11:45:00,0.11635737334724183
154,A->C->D,1900-01-01 09:20:00,1.5467158132753411
155,B->C->E,1900-01-01 15:23:00,1.223102107954972
156,B->C->D,1900-01-01 14:08:00,2.0554996471794595
157,A->C->E,1900-01-01 14:12:00,0.943668161268775
158,A->C->E,1900-01-01 08:48:00,5.361190470317197
159,A->C->D,1900-01-01 10:19:00,3.947617178229706
160,B->C->D,1900-01-01 08:49:00,0.0886880928122622
161,A->C->E,1900-01-01 08:39:00,1.3450105344574297
162,B->C->D,1900-01-01 14:43:00,5.800479493090847
163,A->C->E,1900-01-01 07:59:00,0.7269002915859772
164,B->C->E,1900-01-01 08:53:00,5.845775899413837
165,A->C->E,1900-01-01 13:32:00,0.12824266477461777
166,A->C->E,1900-01-01 09:39:00,4.547123226477467
167,A->C->E,1900-01-01 09:54:00,2.5201566667111877
168,B->C->D,1900-01-01 09:09:00,1.314960833064049
169,B->C->D,1900-01-01 11:01:00,2.133098482428835
170,B->C->D,1900-01-01 16:38:00,0.7384619457552333
171,A->C->D,1900-01-01 13:04:00,1.3876419871384797
172,B->C->E,1900-01-01 11:51:00,6.117784975198958
173,A->C->E,1900-01-01 09:18:00,1.415123589849756
174,A->C->D,1900-01-01 14:55:00,0.879924471869316
175,B->C->E,1900-01-01 11:00:00,1.7739168132780065
176,B->C->E,1900-01-01 08:58:00,4.211915202422546
177,B->C->E,1900-01-01 15:34:00,3.9038183160850792
178,A->C->E,1900-01-01 11:54:00,3.695575811419033
179,B->C->E,1900-01-01 12:53:00,1.8635928122839829
180,A->C->D,1900-01-01 16:45:00,3.4152542544784126
181,B->C->E,1900-01-01 15:24:00,0.7884361124123132
182,B->C->D,1900-01-01 15:30:00,0.9755452798533781
183,B->C->D,1900-01-01 07:35:00,2.993125604722252
184,B->C->E,1900-01-01 12:12:00,0.3600876029118183
185,A->C->D,1900-01-01 15:41:00,2.3965615659191712
186,A->C->D,1900-01-01 08:25:00,4.852079390900798
187,B->C->D,1900-01-01 08:23:00,2.247294625170923
188,B->C->D,1900-01-01 08:07:00,2.635994746048226
189,B->C->D,1900-01-01 16:39:00,3.0800089442204523
190,B->C->D,1900-01-01 11:44:00,3.07698168366025
191,A->C->E,1900-01-01 13:53:00,0.9095105188981591
192,A->C->D,1900-01-01 14:22:00,2.6586149991544943
193,B->C->D,1900-01-01 07:25:00,2.4247924842263444
194,A->C->E,1900-01-01 11:37:00,6.665013710350578
195,A->C->D,1900-01-01 08:48:00,5.9890002090141365
196,B->C->E,1900-01-01 10:40:00,1.0046812206235387
197,A->C->E,1900-01-01 08:37:00,5.658585006844746
198,A->C->E,1900-01-01 16:29:00,3.8100372595325496
199,A->C->E,1900-01-01 13:16:00,2.157006995191992
200,A->C->E,1900-01-01 07:34:00,0.7718445578631048
201,B->C->E,1900-01-01 13:46:00,1.051185416927538
202,B->C->D,1900-01-01 13:07:00,3.0313780831139567
203,A->C->E,1900-01-01 15:39:00,2.1000742079131953
204,A->C->E,1900-01-01 08:19:00,1.3090551214357333
205,A->C->E,1900-01-01 16:36:00,0.7974528649749573
206,B->C->E,1900-01-01 15:42:00,1.9961240790233319
207,B->C->D,1900-01-01 14:58:00,0.329465616165578
208,A->C->D,1900-01-01 16:45:00,2.5847457455215874
209,A->C->E,1900-01-01 13:00:00,1.1857713256093518
210,A->C->E,1900-01-01 08:40:00,7.65319169489149
211,B->C->D,1900-01-01 12:23:00,3.357741529255634
212,B->C->E,1900-01-01 09:03:00,3.2696063042589287
213,A->C->D,1900-01-01 14:49:00,0.5363579677471932
214,B->C->D,1900-01-01 16:07:00,0.48487127315968337
215,A->C->D,1900-01-01 09:50:00,10.208888134032364
